(170.8, 0.6, 3.0)
(170.8, 0.6, 3.0)
(170.8, 0.6, 3.0)
(170.8, 0.6, 3.0)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 3.1)
(170.8, 0.6, 3.0)
(170.8, 0.6, 3.0)
(170.8, 0.6, 3.0)
(170.8, 0.6, 3.0)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.9)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.8)
(170.8, 0.6, 2.7)
(170.8, 0.6, 2.7)
(170.8, 0.6, 2.6)
(170.8, 0.6, 2.6)
(170.8, 0.6, 2.6)
(170.8, 0.7, 2.6)
(170.8, 0.7, 2.6)
(170.8, 0.7, 2.6)
(170.7, 0.7, 2.6)
(170.7, 0.7, 2.6)
(170.7, 0.7, 2.6)
(170.7, 0.7, 2.6)
(170.7, 0.7, 2.6)
(170.7, 0.7, 2.6)
(170.7, 0.7, 2.6)
(170.6, 0.7, 2.6)
(170.6, 0.7, 2.6)
(170.6, 0.6, 2.6)
(170.6, 0.6, 2.6)
(170.7, 0.6, 2.6)
(170.7, 0.6, 2.7)
(170.7, 0.6, 2.7)
(170.7, 0.6, 2.7)
(170.7, 0.6, 2.8)
(170.7, 0.6, 2.8)
(170.7, 0.6, 2.8)
(170.7, 0.6, 2.9)
(170.7, 0.6, 2.9)
(170.7, 0.6, 3.0)
(170.7, 0.6, 3.0)
(170.7, 0.6, 3.2)
(170.6, 0.6, 3.4)
(170.6, 0.6, 3.6)
(170.6, 0.6, 4.0)
(170.6, 0.6, 4.4)
(170.6, 0.6, 4.4)
